,accession#,filing_year,entity,label
0,0001209286-10-000410,2010,60 days,DATE
1,0000950123-10-063295,2010,’s,ORG
2,0000950123-10-063295,2010,12month,ORDINAL
3,0000950123-10-063295,2010,the next 12 months,DATE
4,0000898432-10-001255,2010,’s,ORG
5,0000898432-10-001255,2010,1  ,QUANTITY
6,0000898432-10-001255,2010,312010,DATE
7,0000898432-10-001255,2010,9132010,DATE
8,0001104659-10-022919,2010,at least 60 days,DATE
9,0001104659-10-022919,2010,less than 100 million,MONEY
10,0001104659-10-022919,2010,1940,DATE
11,0001104659-10-022919,2010,1940,DATE
12,0001104659-10-022919,2010,33 1  ,QUANTITY
13,0001104659-10-022919,2010,’s,ORG
14,0001104659-10-022919,2010,’s,ORG
15,0001104659-10-022919,2010,’s,ORG
16,0001104659-10-022919,2010,’s,ORG
17,0001104659-10-022919,2010,’s,ORG
18,0001104659-10-022919,2010,’s,ORG
19,0001104659-10-022919,2010,’s,ORG
20,0001104659-10-022919,2010,april 30 2010 2 of 4,DATE
21,0001193125-10-081545,2010,32 billion to 2483 billion,MONEY
22,0001193125-10-081545,2010,’s,ORG
23,0001193125-10-081545,2010,’s,ORG
24,0001193125-10-081545,2010,’s,ORG
25,0001193125-10-221804,2010,annual,DATE
26,0001193125-10-221804,2010,1  ,QUANTITY
27,0001193125-10-221804,2010,’s,ORG
28,0001193125-10-219651,2010,1940,DATE
29,0001193125-10-219651,2010,1940,DATE
30,0001193125-10-219651,2010,’s,PRODUCT
31,0001193125-10-219651,2010,a given quarter,DATE
32,0001193125-10-219651,2010,a calendar quarter,DATE
33,0001193125-10-219651,2010,’s,PRODUCT
34,0001193125-10-219651,2010,quarterly,DATE
35,0001193125-10-219651,2010,’s,ORG
36,0001193125-10-219651,2010,33 1  ,QUANTITY
37,0001193125-10-219651,2010,’s,PRODUCT
38,0001193125-10-219651,2010,’s,ORG
39,0001193125-10-219651,2010,’s,ORG
40,0001193125-10-219651,2010,’s,ORG
41,0001193125-10-219651,2010,’s,ORG
42,0001193125-10-219651,2010,’s,ORG
43,0001193125-10-219651,2010,september 30 2010 2 of 4,DATE
44,0000950123-10-088218,2010,third,ORDINAL
45,0000950123-10-088218,2010,65,DATE
46,0000950123-10-088218,2010,20 years,DATE
47,0000950123-10-088218,2010,’s,ORG
48,0000950123-10-088218,2010,annually,DATE
49,0000950123-10-088218,2010,’s,ORG
50,0000950123-10-088218,2010,’s,ORG
51,0000950123-10-088218,2010,’s,ORG
52,0000950123-10-088218,2010,20 years,DATE
53,0000950123-10-088218,2010,’s,ORG
54,0000950123-10-088218,2010,’s,ORG
55,0000950123-10-088218,2010,annual,DATE
56,0000950123-10-088218,2010,’s,ORG
57,0000950123-10-088218,2010,’s,ORG
58,0000950123-10-088218,2010,the year,DATE
59,0000950123-10-088218,2010,the year,DATE
60,0001104659-10-050537,2010,at least 60 days,DATE
61,0001104659-10-050537,2010,less than 100 million,MONEY
62,0001104659-10-050537,2010,1940,DATE
63,0001104659-10-050537,2010,1940,DATE
64,0001104659-10-050537,2010,33 1  ,QUANTITY
65,0001104659-10-050537,2010,’s,ORG
66,0001104659-10-050537,2010,’s,PRODUCT
67,0001104659-10-050537,2010,’s,ORG
68,0001104659-10-050537,2010,’s,PRODUCT
69,0001104659-10-050537,2010,’s,PRODUCT
70,0001104659-10-050537,2010,september 30 2010 2 of 4,DATE
71,0001104659-10-050537,2010,’s,ORG
72,0001104659-10-050537,2010,’s,ORG
73,0001193125-10-104436,2010,’s,ORG
74,0001193125-10-104436,2010,the last day,DATE
75,0001193125-10-104436,2010,the most recent quarter,DATE
76,0001193125-10-104436,2010,march 31 2010,DATE
